Name,Total Progress,Killed,Skinned/Collected,Tracked,Studied
American Alligator,100%,5,5,4,Yes
American Alligator (small),100%,1,1,1,Yes
,,,,,
American Badger,100%,6,7,3,Yes
,,,,,
American Black Bear,100%,6,6,6,Yes
Grizzly Bear,100%,2,2,3,Yes
North American Beaver,50%,0,0,1,Yes
,,,,,
Wild Boar,100%,12,12,4,Yes
Whitetail Buck,100%,6,7,6,Yes
Whitetail Deer,100%,36,31,12,Yes
American Bison,100%,2,2,1,Yes
Angus Bull,100%,N/A,N/A,N/A,Yes
,,,,,
,,,,,
,,,,,
Northern Cardinal,66%,2,2,N/A,No
American Domestic Cat,100%,N/A,N/A,N/A,Yes
,,,,,
Dominique Chicken,100%,N/A,N/A,N/A,Yes
,,,,,
Java Chicken,100%,N/A,N/A,N/A,Yes
,,,,,
Leghorn Chicken,100%,N/A,N/A,N/A,Yes
,,,,,
Greater Prairie Chicken,66%,12,11,N/A,No
Western Chipmonk,100%,3,3,1,Yes
,,,,,
Cougar,50%,3,3,0,No
Double-Crested Cormorant,100%,4,4,N/A,Yes
,,,,,
Florida Cracker Cow,100%,N/A,N/A,N/A,Yes
California Valley Coyote,100%,6,6,5,Yes
Cuban Land Crab,100%,2,2,N/A,Yes
,,,,,
,,,,,
,,,,,
American Crow,100%,9,7,N/A,Yes
American Fox Hound,100%,N/A,N/A,N/A,Yes
Australian Shepherd,100%,N/A,N/A,N/A,Yes
,,,,,
Bluetick Coonhound,100%,N/A,N/A,N/A,Yes
,,,,,
Catahoula Cur,100%,N/A,N/A,N/A,Yes
,,,,,
,,,,,
Labrador Retriever,100%,N/A,N/A,N/A,Yes
,,,,,
,,,,,
,,,,,
Standard Donkey,100%,N/A,N/A,N/A,Yes
Mallard Duck,100%,10,6,N/A,Yes
Pekin Duck,100%,6,3,N/A,Yes
Bald Eagle,100%,1,1,N/A,Yes
Golden Eagle,100%,1,2,N/A,Yes
,,,,,
,,,,,
,,,,,
